word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
aids,4,4,8.89,0.12585746511589394,0.06098802002451796,0.086047864209803,0.05952602988532101,3.44,1.33,1.06,21.0,0.5910520153635705,0
quiet,5,6,4.15,0.39058125911345576,0.1259120501107224,0.3932570993790688,0.10768658094618225,2.76,6.47,117.22,34.0,0.4719500646172152,0
wait,4,4,4.3,0.04440269673382112,0.05120540648260745,0.04496057994110943,0.051584227545145196,2.68,4.55,830.25,20.0,0.37328015310737894,0
stagger,7,7,9.56,0.3204003943460815,0.1732847050155898,0.22145604996196827,0.15951963403058955,3.57,3.42,0.59,37.0,0.6004748335694561,0
infatuated,10,12,12.52,0.3553790518372125,0.04904478531610567,0.10529312794484275,0.05111306800901041,1.7,6.0,0.73,70.0,0.5110179694711088,0
toll,4,4,8.37,0.1700750940249787,0.14967087386293945,0.164421754551251,0.13270235027608218,3.54,3.53,3.35,20.0,0.6860023236594046,0
spawn,5,5,11.25,0.13635001224531415,0.06394172831610237,0.13635001224531415,0.062005136622060114,3.9,4.85,1.82,33.0,0.6189142704833541,0
distinguishing,14,13,11.58,0.2206936493065711,0.04504716356910972,0.18310417800622333,0.053540402690289354,1.75,5.37,0.55,98.0,0.6156787381626185,0
extent,6,8,10.72,0.08086831231000456,0.048800391197583684,0.1593827352242859,0.034923501001625286,1.44,5.57,4.06,38.0,0.6389420232452083,1
marginal,8,7,12.0,0.23144004083561126,0.07809119655998824,0.07533819160550098,0.0711597348522601,1.92,4.6,0.55,49.0,0.6831013449840914,1
buyer,5,5,6.94,0.028742859712076307,0.14908406227217458,0.3574653959420416,0.2788991391323666,4.36,5.9,5.18,38.0,0.5226679910407394,1
skillet,7,7,8.2,0.2293595556404484,0.05736635536971165,0.2293595556404484,0.0915252430955745,4.73,5.85,1.22,41.0,0.4056759209265075,0
intrigue,8,7,10.68,0.24132059148948107,0.032141324453724314,0.21964986544692092,0.0505860418183491,2.0,6.05,1.51,63.0,0.5749916473676564,0
jolly,5,5,6.594712000000001,0.32505769645865124,0.15736751378373737,0.2441325292591597,0.14767502647544484,2.34,7.47,7.49,30.0,0.5782089979915197,0
superficial,11,10,12.83,0.0959060018206643,0.023182335603623542,0.09851668549850325,0.01968824609619053,1.85,3.79,2.9,82.0,0.6116073438223385,1
sassafras,9,9,10.53,0.06623344144513582,0.020521363956787355,0.1002310537462186,0.025413777834632913,4.19,5.48,0.63,79.0,0.4314634827381984,0
